State,Title,Description,Type
US,Clean Cities Coalition Network,"The mission of Clean Cities Coalition Network is to foster the economic, environmental, and energy security of the United States by working locally to advance affordable, domestic transportation fuels and technologies. Nearly 100 volunteer coalitions carry out this mission by developing public/private partnerships to promote alternative and renewable fuels, idle-reduction measures, fuel economy, improvements, and emerging transportation technologies. The Clean Cities Coalition Network provides information about financial opportunities, coordinates technical assistance projects, updates and maintains databases and websites, and publishes technical and informational materials. For more information, see the <a href=""https://cleancities.energy.gov/"">Clean Cities Coalition Network</a> website.",Programs
US,High Occupancy Vehicle (HOV) Lane Exemption,"States are allowed to exempt certified alternative fuel vehicles (AFVs) and plug-in electric vehicles (PEVs)  from HOV lane requirements within the state. Eligible AFVs are defined as vehicles operating solely on methanol, denatured ethanol, or other alcohols; a mixture containing at least 85% methanol, denatured ethanol, or other alcohols; natural gas, propane, hydrogen, or coal derived liquid fuels; or fuels derived from biological materials. PEVs are defined as vehicles that are recharged from an external source of electricity and have a battery capacity of at least 4 kilowatt-hours. States are also allowed to establish programs allowing low-emission and energy-efficient vehicles to pay a toll to access HOV lanes.</p><p>Vehicles must be certified by the U.S. Environmental Protection Agency (EPA) and appropriately labeled for use in HOV lanes. The U.S. Department of Transportation (DOT) is responsible for planning and implementing HOV programs, including the low-emission and energy-efficient vehicle criteria EPA established. States that choose to adopt these requirements will be responsible for enforcement and vehicle labeling. The HOV exemption for AFVs and PEVs expires September 30, 2025 and low-emission and energy-efficient vehicle toll-access to HOV lanes expires September 30, 2019.</p><p>(Reference <a href=""https://www.congress.gov/public-laws/114th-congress"">Public Law</a> 114-94 and 23 <a href=""https://www.govinfo.gov/"">U.S. Code</a> 166)",Laws and Regulations
US,Aftermarket Alternative Fuel Vehicle (AFV) Conversions,"Conventional original equipment manufacturer vehicles altered to operate on propane, natural gas, methane gas, ethanol, or electricity are classified as aftermarket AFV conversions. All vehicle conversions, except those that are completed for a vehicle to run on electricity, must meet current applicable U.S. Environmental Protection Agency (EPA) standards. For more information about vehicle conversion certification requirements, see the Alternative Fuels Data Center's <a href=""https://afdc.energy.gov/vehicles/conversions.html"" target=""_blank"">Vehicle Conversions</a> website and EPA's <a href=""https://www.epa.gov/vehicle-and-engine-certification"">Certification and Compliance for Vehicles and Engines</a> website. (Reference 40 <a href=""https://www.govinfo.gov/"" target=""_blank"">CFR</a> 85)",Laws and Regulations
US,Qualified Plug-In Electric Vehicle (PEV) Tax Credit,"A tax credit is available for the purchase of a new qualified PEV that draws propulsion using a traction battery that has at least five kilowatt-hours (kWh) of capacity, uses an external source of energy to recharge the battery, has a gross vehicle weight rating of up to 14,000 pounds, and meets specified emission standards. The minimum credit amount is $2,500, and the credit may be up to $7,500, based on each vehicle's traction battery capacity and the gross vehicle weight rating. The credit will begin to be phased out for each manufacturer in the second quarter following the calendar quarter in which a minimum of 200,000 qualified PEVs have been sold by that manufacturer for use in the United States. This tax credit applies to vehicles acquired after December 31, 2009. For more information, including qualifying vehicles and sales by manufacturer, see the Internal Revenue Service (IRS) <a href=""http://www.irs.gov/Businesses/Plug-In-Electric-Vehicle-Credit-IRC-30-and-IRC-30D"">PEV Credit</a> website. Also refer to IRS Form 8936, which is available via the <a href=""http://apps.irs.gov/app/picklist/list/formsPublications.html"">IRS Forms and Publications</a> website.</p><p>(Reference <a href=""https://www.congress.gov/public-laws/112th-congress"">Public Law</a> 112-240, Section 403; and 26 <a href=""https://www.govinfo.gov/"">U.S. Code</a> 30D)",Incentives
AZ,Alternative Fuel Vehicle Emissions Test Exemption,"All-electric vehicles, hydrogen vehicles, and current model year propane and natural gas vehicles registered for the first time in Arizona are not required to complete emissions testing. This exemption does not apply after the first registration year. All AFVs, excluding electric, solar, and hydrogen vehicles, used to commute into Phoenix or Tucson, are required to be emissions tested before they are registered. For more information, visit the <a href=""https://www.azdeq.gov/"">Arizona Department of Environmental Quality</a> website. (Reference <a href=""http://www.azleg.gov/ArizonaRevisedStatutes.asp"">Arizona Revised Statutes</a> 49-542 and 49-542.05)",State Incentives
AZ,Reduced Alternative Fuel Vehicle (AFV) License Tax,"The vehicle license tax for an AFV registered in Arizona is $4 for every $100 in assessed value. The minimum amount of the annual AFV license tax is $5. AFV assessed values are determined as follows:<ul><li>AFVs registered prior to January 1, 2022: 1% of the manufacturer’s suggested retail price (MSRP)<li>AFVs initially registered between January 1, 2022 and December 31, 2022: 20% of the MSRP.</ul>For each succeeding year, for the purpose of calculating the license tax, the value of the AFV is reduced by 15% from the value from the preceding year.</p><p>For the purpose of this tax, AFVs include those powered exclusively by propane, natural gas, electricity, hydrogen, or a blend of hydrogen with propane or natural gas. For more information, see the ADOT <a href=""https://azdot.gov/motor-vehicles/vehicle-services/vehicle-registration/alternative-fuel-vehicle"">AFV</a> website. The reduced alternative fuel vehicle license tax does not apply to any vehicle purchased on or after December 31, 2022.</p><p>(Reference <a href=""http://www.azleg.gov/ArizonaRevisedStatutes.asp"">Arizona Revised Statutes</a> 28-5801)
",State Incentives
CA,Plug-In Electric Vehicle (PEV) Charging Rate Reduction - SMUD,"The Sacramento Municipal Utility District (SMUD) offers a discounted rate to residential customers for electricity used to charge PEVs. For more information, see the SMUD <a href=""https://www.smud.org/en/Rate-Information/Time-of-Day-rates/Time-of-Day-5-8pm-Rate"">Time-of-Day Rate</a> website.",Utility/Private Incentives
CO,Alternative Fuel Vehicle (AFV) Weight Exemption,"Gross vehicle weight rating limits for AFVs are 2,000 pounds greater than those for comparable conventional vehicles, as long as the AFVs operate using an alternative fuel or both alternative and conventional fuel, when operating on a highway that is not part of the interstate system. For the purpose of this exemption, alternative fuel is defined as compressed natural gas, propane, ethanol, or any mixture containing 85% or more ethanol (E85) with gasoline or other fuels, electricity, or any other fuels, which may include clean diesel and reformulated gasoline, so long as the Colorado Air Quality Control Commission determines that these other fuels result in comparable reductions in carbon monoxide emissions and brown cloud pollutants. (Reference <a href=""http://www.lexisnexis.com/hottopics/Colorado/"">Colorado Revised Statutes</a> 42-4-508 and 25-7-106.8)",State Incentives
MT,Alternative Fuel Vehicle (AFV) Conversion Tax Credit,"Businesses and individuals are eligible for an income tax credit of up to 50% of the equipment and labor costs for converting vehicles to operate using alternative fuels. Qualified alternative fuels are natural gas, propane, hydrogen, electricity, and fuels containing at least 85% ethanol, methanol, ether, or another alcohol. The maximum credit is $500 for the conversion of vehicles with a gross vehicle weight rating (GVWR) of 10,000 pounds (lbs.) or less and $1,000 for vehicles with a GVWR of more than 10,000 lbs. The credit is only available for the year the business or individual converts the vehicle. An alternative fuel seller may not receive a credit for converting its own vehicles to operate on the alternative fuel it sells. (Reference <a href=""https://leg.mt.gov/bills/mca/index.html"">Montana Code Annotated</a> 15-30-2320)",State Incentives
VA,High Occupancy Vehicle (HOV) Lane Exemption,"Alternative fuel vehicles (AFVs) displaying the Virginia Clean Special Fuel license plate may use Virginia HOV lanes on specified areas of I-64, I-264, the Dulles Toll Road, and in the City of Alexandria, regardless of the number of occupants. For HOV lanes serving the I-66 corridor, only registered vehicles displaying Clean Special Fuel license plates issued before July 1, 2011, are exempt from HOV lane requirements. Eligible vehicles include dedicated AFVs; see the <a href=""http://www.dmv.state.va.us/webdoc/citizen/vehicles/cleanspecialfuel.asp"">Virginia Department of Motor Vehicles</a> website for a complete list of qualifying vehicles. The annual fee for Clean Special Fuel license plates is $25 in addition to the prescribed fee for commonwealth license plates. This exemption expires September 30, 2025. For more information, see the Virginia Department of Transportation <a href=""http://www.virginiadot.org/travel/hov-default.asp"">HOV Lanes</a> website. (Reference <a href=""http://lis.virginia.gov/000/src.htm"">Virginia Code</a> 33.2-501 and 46.2-749.3)",State Incentives
VA,Alternative Fuel and Vehicle Tax,"Alternative fuels used to operate on-road vehicles are taxed at a rate of $0.162 per gasoline gallon equivalent (GGE). Alternative fuels are taxed at the same rate as gasoline and gasohol (5.1% of the statewide average wholesale price of a gallon of self-serve unleaded regular gasoline). Refer to the Virginia Department of Motor Vehicles (DMV) <a href=""https://www.dmv.virginia.gov/commercial/#taxact/tax_rates.asp""> Fuels Tax Rates and Alternative Fuels Conversion</a> website for fuel-specific GGE calculations. </p>

All-electric vehicles (EVs) registered in Virginia are subject to a $64.00 annual license tax at time of registration. For more information, see the Virginia DMV <a href=""https://www.dmv.virginia.gov/vehicles/#alternative_vehicles.html"">Electric Vehicles</a> website.</p>

(Reference <a href=""http://lis.virginia.gov/000/src.htm"">Virginia Code</a> 58.1-2217 and 58.1-2249)
",Laws and Regulations
WA,Alternative Fuel Vehicle (AFV) Emissions Inspection Exemption,"AFVs powered exclusively by electric, natural gas, and propane vehicles are exempt from state emissions control inspections. Plug-in hybrid electric vehicles that obtain a U.S. Environmental Protection Agency fuel economy rating of at least 50 miles per gallon during city driving are also exempt from these inspections. (Reference <a href=""http://apps.leg.wa.gov/rcw/"">Revised Code of Washington</a> 46.16A.060)",State Incentives
WI,Alternative Fuel Vehicle and Alternative Fuel Use Policy,"The Wisconsin Department of Administration (DOA) encourages state employees operating state-owned or leased motor vehicles to use hybrid electric vehicles or vehicles that operate on gasohol (a motor fuel containing at least 10% alcohol) or alternative fuels whenever feasible and cost effective. DOA must place a list of gasohol and alternative fueling station locations in each state-owned or state-leased motor vehicle for driver reference. DOA also encourages Wisconsin residents and state employees who use personal motor vehicles on state business to use gasohol and alternative fuels. (Reference <a href=""http://legis.wisconsin.gov/rsb/stats.html"">Wisconsin Statutes</a> 16.045)",Laws and Regulations
FL,Electric Vehicle (EV) Insurance Regulation,"Insurance companies may not impose surcharges on EVs based on factors such as new technology, passenger payload, weight-to-horsepower ratio, and the types of material used to manufacture the vehicle, unless the Florida Office of Insurance Regulation receives actuarial data that determines the surcharges are justified. (Reference <a href=""http://www.flsenate.gov/Laws/"">Florida Statutes</a> 627.06535)",Laws and Regulations
GA,High Occupancy Vehicle (HOV) and High Occupancy Toll (HOT) Lane Exemption,"Alternative fuel vehicles (AFVs) displaying the proper alternative fuel license plate may use HOV and HOT lanes, regardless of the number of passengers. Qualified AFVs may also use the HOT lanes toll-free. AFVs include plug-in electric vehicles and bi-fuel or dual-fuel vehicles that operate on natural gas or propane. Applicants must provide proof they have paid registration fees in full before receiving the license plate. This exemption expires September 30, 2025. For more information on fees and eligibility for the AFV license plate, see the <a href=""https://dor.georgia.gov/"">Georgia Department of Revenue</a> and the <a href=""https://dps.georgia.gov/i-85-expres-lanes-hot-lanes"">Georgia Department of Public Safety</a> websites. (Reference <a href=""http://www.legis.ga.gov/en-US/default.aspx"">Georgia Code</a> 32-9-4, 40-2-86.1, and 40-6-54)",State Incentives
IA,Alternative Fuel Vehicle (AFV) Demonstration Grant Authorization,"The Iowa Department of Natural Resources (Department) may award demonstration grants to individuals who purchase vehicles that operate on alternative fuels, including but not limited to E85, biodiesel, compressed natural gas, electricity, solar energy, or hydrogen. Individuals may use the grants to conduct research connected with the fuel or vehicle. Grant funding to purchase the vehicle is available if the Department retains the title of the vehicle, the vehicle is used for research, and the proceeds from the eventual sale of the vehicle are used for additional research. Grants are subject to funding availability. (Reference <a href=""https://www.legis.iowa.gov/"">Iowa Code</a> 214A.19)",Laws and Regulations
NV,Alternative Fuel Vehicle (AFV) and Hybrid Electric Vehicle (HEV) Emissions Inspection Exemption,"AFVs are exempt from Nevada's emissions testing requirements. A new HEV is exempt from emissions inspection testing for the first five model years, after which the vehicle must comply with emissions inspection testing requirements on an annual basis. For more information, see the <a href=""http://www.dmvnv.com/emission.htm"">Nevada Emissions Control Program</a> website. (Reference <a href=""http://www.leg.state.nv.us/law1.cfm"">Nevada Revised Statutes</a> 445B.770 and 445B.825)",State Incentives
NC,Alternative Fuel and Idle Reduction Grants,"The North Carolina Department of Environment and Natural Resources Division of Air Quality provides grants for the incremental cost of original equipment manufacturer alternative fuel vehicles, vehicle conversions, and implementing idle reduction programs. For more information see the <a href=""https://deq.nc.gov/about/divisions/air-quality/motor-vehicles-air-quality/mobile-source-emissions-reduction-grants"">Diesel Emission Reductions Grants</a> website.",State Incentives
