State,Number of Charging Stations 0 - 176,Number of Charging Stations 177 - 353,Number of Charging Stations  354 - 529,Number of Charging Stations 530 - 706,Number of Charging Stations 707 - 882,Number of Charging Stations 883 - 1059,Number of Charging Stations > 1059
NY,176,353,529,270,0,0,0
CO,176,353,339,0,0,0,0
ND,42,0,0,0,0,0,0
CA,176,353,529,706,882,1059,3516
TX,176,353,529,478,0,0,0
PA,176,353,102,0,0,0,0
VA,176,353,198,0,0,0,0
AZ,176,353,121,0,0,0,0
OR,176,353,126,0,0,0,0
MO,176,243,0,0,0,0,0
NJ,176,275,0,0,0,0,0
NV,176,170,0,0,0,0,0
KY,173,0,0,0,0,0,0
SC,176,203,0,0,0,0,0
TN,176,353,8,0,0,0,0
WI,176,127,0,0,0,0,0
VT,176,23,0,0,0,0,0
NC,176,353,418,0,0,0,0
LA,98,0,0,0,0,0,0
FL,176,353,529,439,0,0,0
WA,176,353,383,0,0,0,0
UT,176,143,0,0,0,0,0
AR,110,0,0,0,0,0,0
ID,83,0,0,0,0,0,0
CT,176,185,0,0,0,0,0
MA,176,353,212,0,0,0,0
WY,46,0,0,0,0,0,0
IL,176,353,80,0,0,0,0
MT,63,0,0,0,0,0,0
MD,176,353,185,0,0,0,0
AK,23,0,0,0,0,0,0
MN,176,152,0,0,0,0,0
MI,176,298,0,0,0,0,0
ME,156,0,0,0,0,0,0
SD,39,0,0,0,0,0,0
NH,118,0,0,0,0,0,0
IA,141,0,0,0,0,0,0
RI,117,0,0,0,0,0,0
IN,176,59,0,0,0,0,0
OH,176,350,0,0,0,0,0
NE,85,0,0,0,0,0,0
DE,59,0,0,0,0,0,0
KS,176,44,0,0,0,0,0
DC,107,0,0,0,0,0,0
OK,176,78,0,0,0,0,0
NM,98,0,0,0,0,0,0
MS,68,0,0,0,0,0,0
GA,176,353,425,0,0,0,0
AL,176,33,0,0,0,0,0
HI,176,122,0,0,0,0,0
PR,1,0,0,0,0,0,0
WV,70,0,0,0,0,0,0
